Nome do equipamento,Funcionário atribuído,Número de série,Categoria de equipamento,Custo,Modelo
PEME's Headset,Pedro Melo (peme),AIR4COWGZRIXA11D,Headset,179.24,Sony MDR-ZX110
PEME's Armário (83),Pedro Melo (peme),,Armário,0.00,
CLRO's Headset,Claudia Rocha (clro),PG8SBI4Q2Y9V86WZ,Headset,223.75,Logitech H390 USB
CLRO's Notebook,Claudia Rocha (clro),S3T60RJIW1,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
CLRO's Estacionamento,Claudia Rocha (clro),,Estacionamento,0.00,
CAOL's Headset,Carlos Oliveira (caol),SWJCKJLTEIYZCOTO,Headset,949.88,Corsair HS50 Pro
CAOL's Estacionamento,Carlos Oliveira (caol),,Estacionamento,0.00,
CAOL's Armário (138),Carlos Oliveira (caol),,Armário,0.00,
CAOL's Notebook,Carlos Oliveira (caol),HP6VZ41NAM148P0TVHHP,Notebook,"6,144.91",Dell Latitude 5440
CLAZ's Headset,Clara Azevedo (claz),BMYOFQEWAOUAXEQB,Headset,179.24,Sony MDR-ZX110
CLAZ's Notebook,Clara Azevedo (claz),NHL1N13JCA,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
CLAZ's Estacionamento,Clara Azevedo (claz),,Estacionamento,0.00,
CLAZ's Notebook,Clara Azevedo (claz),T9MX2X18HAFEYUHZ1GV0,Notebook,"6,144.91",Dell Latitude 5440
SIXA's Armário (66),Simone Xavier (sixa),,Armário,0.00,
GIRI's Headset,Giovanna Ribeiro (giri),E38DALY8OZCYWD14,Headset,223.75,Logitech H390 USB
GIRI's Notebook,Giovanna Ribeiro (giri),VE92MPNSM4,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
PRSA's Headset,Priscila Santos (prsa),3D8W3ZP08J3TRP0J,Headset,223.75,Logitech H390 USB
PRSA's Notebook,Priscila Santos (prsa),43D5IQVNB4GH2M,Notebook,"5,225.54",ASUS ZenBook 14 - Intel Core i5
FEPO's Notebook,Fernando Porto (fepo),5ZJA8DZR1Y,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
FEPO's Headset,Fernando Porto (fepo),XR2DHYLURTP0LZJJ,Headset,191.25,Plantronics Blackwire 3220
GIMI's Headset,Giovanna Miranda (gimi),EGET1GHR09SKDGIG,Headset,223.75,Logitech H390 USB
GIMI's Notebook,Giovanna Miranda (gimi),ATJ9TZE5R5,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
BRMB's Headset,Bruno Medeiros (brmb),UQPGB7R3OCWBFUK9,Headset,191.25,Plantronics Blackwire 3220
BRMB's Notebook,Bruno Medeiros (brmb),E1V2ISQP49,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
BRMB's Livros,Bruno Medeiros (brmb),KWV08HHXFGCAQ,Livros,66.12,
ALRO's Headset,Aline Rodrigues (alro),VKIZZQY72WX7PTX6,Headset,223.75,Logitech H390 USB
ALRO's Notebook,Aline Rodrigues (alro),3CFL0UKEYZ,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
ALRO's Armário (109),Aline Rodrigues (alro),,Armário,0.00,
ALRO's Headset,Aline Rodrigues (alro),7SRCBPLJD84U89YJ,Headset,191.25,Plantronics Blackwire 3220
NASI's Headset,Natalia Silva (nasi),B1QX6GVWRDMLY4LY,Headset,223.75,Logitech H390 USB
NASI's Notebook,Natalia Silva (nasi),K83TQLL8OS,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
DIBA's Notebook,Diego Barbosa (diba),9XTOGN1W1H,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
DIBA's Headset,Diego Barbosa (diba),T7PZE9VIFTTD96QE,Headset,191.25,Plantronics Blackwire 3220
YAMÜ's Headset,Yan Müller (yamü),3RZSJ49ITN7S55J2,Headset,191.25,Plantronics Blackwire 3220
YAMÜ's Notebook,Yan Müller (yamü),O7S3KKV9RF,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
MABA's Notebook,Mateus Bastos (maba),TMTTQLGZUI,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
MABA's Headset,Mateus Bastos (maba),1B0Z3NX39RBSV55P,Headset,191.25,Plantronics Blackwire 3220
THSO's Notebook,Thiago Souza (thso),SQ0OXFQ8MY,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
THSO's Headset,Thiago Souza (thso),X444NLZ15BCW790P,Headset,191.25,Plantronics Blackwire 3220
NIGU's Headset,Nicolas Guimarães (nigu),DW5PY6B2KNFTU2GC,Headset,191.25,Plantronics Blackwire 3220
NIGU's Notebook,Nicolas Guimarães (nigu),5WI6FQJJA2,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
GACA's Headset,Gabriel Cardoso (gaca),6YFPMVXPJ4HNRIUU,Headset,191.25,Plantronics Blackwire 3220
GACA's Notebook,Gabriel Cardoso (gaca),9K9XJUY0BV,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
JUGO's Notebook,Julia Gomes (jugo),R6K2VMWWYZ,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
JUGO's Headset,Julia Gomes (jugo),X4W6XLPU0DK0GET8,Headset,179.24,Sony MDR-ZX110
JUGO's Armário (68),Julia Gomes (jugo),,Armário,0.00,
CLCA's Notebook,Claudia Carvalho (clca),T63J3R30ME,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
CLCA's Headset,Claudia Carvalho (clca),8F840982N2ATQYYV,Headset,223.75,Logitech H390 USB
SANE's Headset,Sandra Neves (sane),37DIA5U6HC36KOF8,Headset,223.75,Logitech H390 USB
SANE's Notebook,Sandra Neves (sane),KRD5EQY08P,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
NICU's Headset,Nicolas Cunha (nicu),0FODRO8BNP84DYT9,Headset,223.75,Logitech H390 USB
MOCA's Notebook,Monica Carvalho (moca),MOGE4QXXVA,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
MOCA's Headset,Monica Carvalho (moca),2IEUC1HH5LF6A4FE,Headset,191.25,Plantronics Blackwire 3220
JOMO's Notebook,João Moraes (jomo),JGXAA2ILGB,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
JOMO's Headset,João Moraes (jomo),0S0R2SDS8B25SQ8C,Headset,191.25,Plantronics Blackwire 3220
FEBA's Headset,Felipe Barros (feba),ROYR6CCVCJWTL9TQ,Headset,191.25,Plantronics Blackwire 3220
FEBA's Notebook,Felipe Barros (feba),VDZ4X1ZHQI,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
LURE's Headset,Luiza Rezende (lure),MQODPXNF7C3DD03U,Headset,223.75,Logitech H390 USB
LURE's Notebook,Luiza Rezende (lure),VULEMX15Z8,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
RECO's Headset,Renata Costa (reco),VMUHXID4N1U3493W,Headset,179.24,Sony MDR-ZX110
RECO's Notebook,Renata Costa (reco),XA73JGZLMA,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
TARA's Notebook,Tatiana Ramos (tara),5UOFWB0HPM,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
TARA's Headset,Tatiana Ramos (tara),NZ1UDBFWYJXRPJ1E,Headset,223.75,Logitech H390 USB
MADI's Notebook,Mariana Dias (madi),PKYRYBOVAK,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
MADI's Headset,Mariana Dias (madi),HEJLA0GNZS43C5BA,Headset,191.25,Plantronics Blackwire 3220
MADI's Armário (69),Mariana Dias (madi),,Armário,0.00,
RIFR's Notebook,Ricardo Freitas (rifr),75UUZPEAL2,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
RIFR's Headset,Ricardo Freitas (rifr),W37D4IVSOLMLGSES,Headset,223.75,Logitech H390 USB
BEVI's Notebook,Beatriz Vieira (bevi),6M033IFHV1,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
BEVI's Headset,Beatriz Vieira (bevi),XG1R11Q7UWW5WFCP,Headset,179.24,Sony MDR-ZX110
PAMO's Headset,Patricia Moreira (pamo),KJCSLQC3C54WSQT2,Headset,191.25,Plantronics Blackwire 3220
PAMO's Notebook,Patricia Moreira (pamo),6Q3XLRFCD6,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
BETA's Headset,Beatriz Tavares (beta),MZSGIPPSFNKOMV2X,Headset,949.88,Corsair HS50 Pro
BETA's Estacionamento,Beatriz Tavares (beta),,Estacionamento,0.00,
BETA's Notebook,Beatriz Tavares (beta),CDYK0X65MUFM8ZOV7LN2,Notebook,"6,144.91",Dell Latitude 5440
THRO's Notebook,Thiago Rodrigues (thro),3Y30YSXPNN,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
THRO's Headset,Thiago Rodrigues (thro),GH8RIEC4D145BM1E,Headset,223.75,Logitech H390 USB
SIAN's Notebook,Simone Andrade (sian),NF313FPOYI,Notebook,"4,327.40",ASUS VivoBook 15 - Intel Core i7
SIAN's Headset,Simone Andrade (sian),PK0QTL3Q4N89QKNS,Headset,191.25,Plantronics Blackwire 3220
LAPA's Headset,Larissa Pacheco (lapa),832EJX5TD44K1J6F,Headset,191.25,Plantronics Blackwire 3220
LAPA's Notebook,Larissa Pacheco (lapa),P8HQMABSI9,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
LAPA's Livros,Larissa Pacheco (lapa),NB74X2EK3ZEZQ,Livros,40.36,
DAAN's Notebook,Daniel Andrade (daan),ACJ4T0SEKK,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
DAAN's Headset,Daniel Andrade (daan),BP2QD6VASIFPWIOX,Headset,179.24,Sony MDR-ZX110
ALBO's Notebook,Aline Borges (albo),D9CSS9TOQW,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
ALBO's Headset,Aline Borges (albo),9JA2M0W10LBT3G2Q,Headset,223.75,Logitech H390 USB
ALBO's Armário (88),Aline Borges (albo),,Armário,0.00,
FESA's Notebook,Felipe Santos (fesa),ZW3C1QKBHB,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
FESA's Headset,Felipe Santos (fesa),7S9TJ1GM25LEN606,Headset,223.75,Logitech H390 USB
SEBR's Notebook,Sergio Braga (sebr),N9RR7S20CV,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
SEBR's Headset,Sergio Braga (sebr),3TLCXLVPYMB5M9J9,Headset,191.25,Plantronics Blackwire 3220
YUFE's Headset,Yuri Ferreira (yufe),8CWN2Y8FV2BC2NNU,Headset,949.88,Corsair HS50 Pro
YUFE's Estacionamento,Yuri Ferreira (yufe),,Estacionamento,0.00,
YUFE's Notebook,Yuri Ferreira (yufe),VY8N1UTOXIE0RNUJJQ9K,Notebook,"6,144.91",Dell Latitude 5440
CANA's Notebook,Carlos Nascimento (cana),6RE4Q6QDY4,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
CANA's Headset,Carlos Nascimento (cana),LMCT64Z7W2SEHE2A,Headset,191.25,Plantronics Blackwire 3220
VIAR's Headset,Victor Araújo (viar),TN2TWDL9ZS13C9XQ,Headset,223.75,Logitech H390 USB
VIAR's Notebook,Victor Araújo (viar),YM52XG8P6B,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
ANSI's Notebook,Ana Silva (ansi),EFFLZM764J,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
ANSI's Headset,Ana Silva (ansi),WTEKTSG7FXZV4U3B,Headset,191.25,Plantronics Blackwire 3220
MANO's Notebook,Marcos Nogueira (mano),BXUX1OXRWK,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
MANO's Headset,Marcos Nogueira (mano),8R2YKCCPRHVLZ049,Headset,223.75,Logitech H390 USB
CANE's Headset,Camila Neves (cane),ENULQJIDKNWI5FLU,Headset,223.75,Logitech H390 USB
CANE's Notebook,Camila Neves (cane),L1RSRLA8S8,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
VIAL's Estacionamento,Vitor Almeida (vial),,Estacionamento,0.00,
VIAL's Notebook,Vitor Almeida (vial),HMBR5XQT4P501NOUHTCS,Notebook,"6,144.91",Dell Latitude 5440
VIAL's Livros,Vitor Almeida (vial),1K9YE9O2M71HS,Livros,58.90,
JUSO's Headset,Juliana Souza (juso),SBELRQVSLWF90KM3,Headset,949.88,Corsair HS50 Pro
JUSO's Estacionamento,Juliana Souza (juso),,Estacionamento,0.00,
JUSO's Armário (75),Juliana Souza (juso),,Armário,0.00,
JUSO's Notebook,Juliana Souza (juso),TZK3NY9V20YAR821UZVG,Notebook,"6,144.91",Dell Latitude 5440
ISCA's Armário (74),Isabela Campos (isca),,Armário,0.00,
GAOL's Headset,Gabriel Oliveira (gaol),WW4FYB8DALFYO175,Headset,949.88,Corsair HS50 Pro
GAOL's Estacionamento,Gabriel Oliveira (gaol),,Estacionamento,0.00,
GAOL's Armário (100),Gabriel Oliveira (gaol),,Armário,0.00,
GAOL's Notebook,Gabriel Oliveira (gaol),0CEHLXSLG6MM1ZXYVGIU,Notebook,"6,144.91",Dell Latitude 5440
REME's Notebook,Renato Menezes (reme),I9KKHZLM72,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
REME's Headset,Renato Menezes (reme),JEYN9382KKZMPJR,Headset,223.75,Logitech H390 USB
BRME's Headset,Bruno Mendes (brme),HT7ZEWVIYTWBOZD1,Headset,191.25,Plantronics Blackwire 3220
BRME's Notebook,Bruno Mendes (brme),AT7O75RH8L,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
EDCA's Headset,Eduardo Cardoso (edca),X6DUT076G5G79OR7,Headset,191.25,Plantronics Blackwire 3220
EDCA's Notebook,Eduardo Cardoso (edca),875AUD9K9T,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
EDCA's Armário (143),Eduardo Cardoso (edca),,Armário,0.00,
RECB's Notebook,Renato Coelho (recb),R74QGEFQJG,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
RECB's Headset,Renato Coelho (recb),02U1G463SDYGFLIJ,Headset,191.25,Plantronics Blackwire 3220
ALMO's Headset,Alexandre Moreira (almo),I18K0AXYCELOS6ZL,Headset,191.25,Plantronics Blackwire 3220
ALMO's Notebook,Alexandre Moreira (almo),E6KWHEF0VO,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
ANME's Notebook,Andre Medeiros (anme),TQTXHI15CQ,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
ANME's Headset,Andre Medeiros (anme),ZCUCTSUFLSEHUDS3,Headset,223.75,Logitech H390 USB
HEBA's Notebook,Henrique Batista (heba),QSQCQ30O30,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
HEBA's Headset,Henrique Batista (heba),UBMC97C7BO119XP9,Headset,191.25,Plantronics Blackwire 3220
LEPE's Headset,Leticia Pereira (lepe),N56NYXTXMGTT0IAA,Headset,223.75,Logitech H390 USB
LEPE's Notebook,Leticia Pereira (lepe),KYTT3IMJ70,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
NANA's Notebook,Natalia Nascimento (nana),E3P15AHDBV,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
NANA's Headset,Natalia Nascimento (nana),ZB0OIH5CSK30LVYL,Headset,179.24,Sony MDR-ZX110
NANA's Estacionamento,Natalia Nascimento (nana),,Estacionamento,0.00,
KARO's Notebook,Karen Rocha (karo),KFXHKC856W,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
KARO's Headset,Karen Rocha (karo),PR97Y2LOFN1R4KZ3,Headset,223.75,Logitech H390 USB
SEME's Headset,Sergio Menezes (seme),6U8UEIHX74D0GJYV,Headset,223.75,Logitech H390 USB
SEME's Estacionamento,Sergio Menezes (seme),,Estacionamento,0.00,
SEME's Estacionamento,Sergio Menezes (seme),,Estacionamento,0.00,
SEME's Notebook,Sergio Menezes (seme),5G10UR5L8A78E9RIVH6T,Notebook,"6,144.91",Dell Latitude 5440
VACO's Headset,Vanessa Coelho (vaco),1NTMJSRD9Q46NOUH,Headset,223.75,Logitech H390 USB
VACO's Estacionamento,Vanessa Coelho (vaco),,Estacionamento,0.00,
VACO's Notebook,Vanessa Coelho (vaco),FJ7UPFLN4RXYJ38XRG2G,Notebook,"6,144.91",Dell Latitude 5440
HEAL's Headset,Helena Almeida (heal),ZR7TXCB48Y1O4IZA,Headset,223.75,Logitech H390 USB
HEAL's Notebook,Helena Almeida (heal),SNWYWRRATA,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
LAGU's Notebook,Laura Guimarães (lagu),TJ9A3Y36DD,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
LAGU's Headset,Laura Guimarães (lagu),FGS3JONOU9IY4X41,Headset,223.75,Logitech H390 USB
LAGU's Livros,Laura Guimarães (lagu),DNTCAGRP2U4DT,Livros,70.54,
MACO's Notebook,Marcos Costa (maco),BH55RBC76UB7L8V,Notebook,"5,225.54",ASUS ZenBook 14 - Intel Core i5
LEMB's Headset,Leonardo Machado (lemb),1ZOCFI4O6L1F90S9,Headset,223.75,Logitech H390 USB
LEMB's Notebook,Leonardo Machado (lemb),BP4M18O1BJ,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
YACU's Notebook,Yasmin Cunha (yacu),9RM7PYXDW2,Notebook,"4,842.04",Samsung Galaxy Book Go - Intel Core i5
YACU's Headset,Yasmin Cunha (yacu),ZCFZW0LDALMJEGQT,Headset,191.25,Plantronics Blackwire 3220
YACU's Armário (86),Yasmin Cunha (yacu),,Armário,0.00,
ELGO's Notebook,Elisa Gomes (elgo),OAMDVLNKND,Notebook,"4,327.40",ASUS VivoBook 15 - Intel Core i7
ELGO's Headset,Elisa Gomes (elgo),669UGNEKRCPPRCJI,Headset,223.75,Logitech H390 USB
GUTA's Notebook,Guilherme Tavares (guta),WVHDK8LW2L,Notebook,"4,326.40",Lenovo IdeaPad 3 - Intel Core i5
GUTA's Headset,Guilherme Tavares (guta),M349EL8HL88KZRUI,Headset,191.25,Plantronics Blackwire 3220
GUTA's Armário (121),Guilherme Tavares (guta),,Armário,0.00,
LEME's Headset,Leandro Mendes (leme),N3OEUVTYT8QZPKY3,Headset,223.75,Logitech H390 USB
PABA's Notebook,Patricia Batista (paba),2ORWIXZ2C9,Notebook,"4,327.40",ASUS VivoBook 15 - Intel Core i7
PABA's Headset,Patricia Batista (paba),ROS7YT2M6TWD1XMX,Headset,191.25,Plantronics Blackwire 3220
PABA's Armário (130),Patricia Batista (paba),,Armário,0.00,
JUPI's Headset,Julia Pinto (jupi),B9YO18PAJSSUUQO1,Headset,179.24,Sony MDR-ZX110
JUPI's Notebook,Julia Pinto (jupi),VSMADO8E7F,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
JUPI's Estacionamento,Julia Pinto (jupi),,Estacionamento,0.00,
JUPI's Armário (78),Julia Pinto (jupi),,Armário,0.00,
TAPA's Headset,Tatiana Pacheco (tapa),LQHRRPZLK3E4XYF9,Headset,191.25,Plantronics Blackwire 3220
TAPA's Notebook,Tatiana Pacheco (tapa),IGFU8IOGXP,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
CRCA's Notebook,Cristina Cavalcanti (crca),BWHVNZH13C,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
CRCA's Headset,Cristina Cavalcanti (crca),D5GLQJ5SXVWVM4W3,Headset,223.75,Logitech H390 USB
ANMA's Headset,Ana Martins (anma),ZKWDEEKGYSPENGWY,Headset,223.75,Logitech H390 USB
ANMA's Notebook,Ana Martins (anma),X9TRFLQBMA,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
ANMA's Armário (93),Ana Martins (anma),,Armário,0.00,
LUCA's Notebook,Lucas Castro (luca),E38SRYO4RC,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
VIFI's Notebook,Victor Figueiredo (vifi),B1KJTGQ01T,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
VIFI's Headset,Victor Figueiredo (vifi),EE13N3BZT9D31K9Q,Headset,179.24,Sony MDR-ZX110
VIFI's Estacionamento,Victor Figueiredo (vifi),,Estacionamento,0.00,
VIFI's Armário (141),Victor Figueiredo (vifi),,Armário,0.00,
VIFI's Livros,Victor Figueiredo (vifi),,Livros,48.85,
PECO's Notebook,Pedro Correia (peco),M3P91I3VMZ,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
PECO's Headset,Pedro Correia (peco),WFFHHCMKTLZKJ49Y,Headset,223.75,Logitech H390 USB
PECO's Estacionamento,Pedro Correia (peco),,Estacionamento,0.00,
ROPI's Headset,Rodrigo Pinheiro (ropi),D82795E5IZ31YRUJ,Headset,223.75,Logitech H390 USB
ROPI's Notebook,Rodrigo Pinheiro (ropi),OQW5DSK7N8,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
ROPI's Armário (142),Rodrigo Pinheiro (ropi),,Armário,0.00,
MAMI's Notebook,Marcelo Miranda (mami),LA100QXMCT,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
MAMI's Headset,Marcelo Miranda (mami),HPHJ3MUURMYBD2QE,Headset,191.25,Plantronics Blackwire 3220
RALO's Headset,Rafaela Lopes (ralo),4PA8HYEXF7JXJN6F,Headset,191.25,Plantronics Blackwire 3220
RALO's Notebook,Rafaela Lopes (ralo),OKZIXZAREIYAZ39PECN0,Notebook,"6,144.91",Dell Latitude 5440
RODU's Notebook,Roberto Duarte (rodu),DL5E11E9FT,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
RODU's Headset,Roberto Duarte (rodu),AXP0WFOY4DD1VN8L,Headset,223.75,Logitech H390 USB
RODU's Armário (72),Roberto Duarte (rodu),,Armário,0.00,
ROVI's Notebook,Rodrigo Vieira (rovi),FJDTVV2Y4X,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
ROVI's Notebook,Rodrigo Vieira (rovi),KSS0KB68RE,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
ROVI's Headset,Rodrigo Vieira (rovi),RVT997E4UNY181AC,Headset,223.75,Logitech H390 USB
EDMO's Notebook,Eduardo Moreira (edmo),JBC2SWSOZC,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
EDMO's Headset,Eduardo Moreira (edmo),TWJLSH3TOW4YCZ04,Headset,223.75,Logitech H390 USB
LAPI's Headset,Larissa Pinto (lapi),CDPQVL00EZZF8S2Z,Headset,223.75,Logitech H390 USB
LAPI's Notebook,Larissa Pinto (lapi),GE2J51B3JC,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
LUAZ's Notebook,Luciana Azevedo (luaz),ZUCQMRUNJD,Notebook,"4,327.40",ASUS VivoBook 15 - Intel Core i7
MAMO's Headset,Marcelo Moreira (mamo),U0ISB5IQNF74T60P,Headset,191.25,Plantronics Blackwire 3220
ANFI's Notebook,Andre Figueiredo (anfi),LOZJCNS6G2,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
ANFI's Headset,Andre Figueiredo (anfi),98CQK4LTAHUKWQVR,Headset,191.25,Plantronics Blackwire 3220
VAMA's Headset,Vanessa Martins (vama),1H61IAOIM458AX40,Headset,223.75,Logitech H390 USB
VAMA's Notebook,Vanessa Martins (vama),DTIRC9ZD76,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
HEBR's Notebook,Helena Braga (hebr),SZN9DDE3CU,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
HEBR's Headset,Helena Braga (hebr),P8IJL2Z0LJCH2VFF,Headset,191.25,Plantronics Blackwire 3220
DAPI's Headset,Daniel Pinheiro (dapi),QOT8HLJEFY3ZB4LD,Headset,223.75,Logitech H390 USB
DAPI's Notebook,Daniel Pinheiro (dapi),IMSYJ9BOQ0,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
DAPI's Armário (140),Daniel Pinheiro (dapi),,Armário,0.00,
YABA's Headset,Yasmin Bastos (yaba),IQ2FA39E3NWXUJ3A,Headset,223.75,Logitech H390 USB
YABA's Notebook,Yasmin Bastos (yaba),C6PE63LBQG,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
KARI's Headset,Karen Ribeiro (kari),U3OBYGHGK5BWIKOT,Headset,223.75,Logitech H390 USB
KARI's Notebook,Karen Ribeiro (kari),CKEH5SW229,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
KARI's Estacionamento,Karen Ribeiro (kari),,Estacionamento,0.00,
REDU's Notebook,Renata Duarte (redu),2MTR6SNGLH,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
REDU's Headset,Renata Duarte (redu),62C9T199DXJ37C9H,Headset,179.24,Sony MDR-ZX110
